,User,Date,Compound,Positive,Neutral,Negative
56,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
57,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
58,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.296,0.0,0.694,0.306
59,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
60,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
61,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.296,0.0,0.645,0.355
62,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5147,0.25,0.75,0.0
63,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
64,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.3612,0.091,0.909,0.0
65,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
66,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.8979,0.0,0.635,0.365
67,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.6808,0.211,0.789,0.0
68,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5994,0.084,0.702,0.214
69,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
70,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
71,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
72,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
73,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.6249,0.163,0.837,0.0
74,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
75,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.7184,0.0,0.625,0.375
76,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
77,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
78,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.25,0.143,0.649,0.208
79,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
80,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.34,0.0,0.897,0.103
81,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.3612,0.091,0.909,0.0
82,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
83,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
84,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5574,0.078,0.709,0.213
85,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.25,0.0,0.909,0.091
86,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5267,0.0,0.614,0.386
87,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5859,0.0,0.814,0.186
88,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.8979,0.0,0.635,0.365
89,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
90,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
91,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
92,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
93,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.8225,0.377,0.53,0.093
94,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.8979,0.0,0.635,0.365
95,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
96,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
97,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
98,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
99,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
0,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.5562,0.0,0.715,0.285
1,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
2,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0772,0.098,0.902,0.0
3,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
4,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.5859,0.16,0.84,0.0
5,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
6,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.3182,0.0,0.919,0.081
7,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
8,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
9,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
10,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
11,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
12,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
13,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
14,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
15,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
16,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
17,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
18,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
19,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
20,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.34,0.098,0.902,0.0
21,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
22,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
23,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
24,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
25,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
26,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
27,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
28,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.126,0.185,0.815,0.0
29,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
30,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
31,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
32,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7579,0.0,0.755,0.245
33,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.296,0.0,0.891,0.109
34,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
35,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
36,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.3595,0.0,0.872,0.128
37,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
38,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.4019,0.13,0.87,0.0
39,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
40,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
41,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
42,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
43,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.5859,0.16,0.84,0.0
44,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.784,0.216
45,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
46,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.2023,0.117,0.795,0.087
47,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
48,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.4404,0.247,0.628,0.126
49,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
50,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
51,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
52,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
53,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
54,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.5399,0.0,0.801,0.199
55,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
56,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.3612,0.123,0.639,0.237
57,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7574,0.0,0.735,0.265
58,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
59,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
60,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
61,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.2023,0.117,0.795,0.087
62,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.6696,0.268,0.732,0.0
63,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
64,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
65,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
66,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.5574,0.0,0.816,0.184
67,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7579,0.0,0.723,0.277
68,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
69,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
70,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
71,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.678,0.336,0.664,0.0
72,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.4404,0.195,0.805,0.0
73,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
74,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
75,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.6696,0.44,0.56,0.0
76,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
77,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.4767,0.0,0.86,0.14
78,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.5994,0.0,0.692,0.308
79,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
80,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
81,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.8164,0.0,0.586,0.414
82,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.25,0.0,0.917,0.083
83,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.9001,0.0,0.667,0.333
84,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.3415,0.132,0.604,0.264
85,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
86,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
87,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
88,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7906,0.0,0.714,0.286
89,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.0,0.0,1.0,0.0
90,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
91,@CNN,Wed Mar 14 01:22:51 +0000 2018,-0.7845,0.0,0.761,0.239
92,@CNN,Wed Mar 14 01:22:51 +0000 2018,0.4019,0.144,0.856,0.0
